ticker,date,period_ending,estimate,reported,surprise,surprise%
A,20-NOV-23,Oct 2023,1.34,1.38,0.04,2.99
AA,18-OCT-23,Sep 2023,-1.13,-1.14,-0.01,-0.88
AAL,19-OCT-23,Sep 2023,0.26,0.38,0.12,46.15
AAN,23-OCT-23,Sep 2023,0.06,0.01,-0.05,-83.33
AAON,06-NOV-23,Sep 2023,0.55,0.64,0.09,16.36
AAP,15-NOV-23,Sep 2023,1.42,-0.82,-2.24,-157.75
AAPL,02-NOV-23,Sep 2023,1.39,1.46,0.07,5.04
AAT,24-OCT-23,Sep 2023,0.55,0.2,-0.35,-63.64
ABBV,27-OCT-23,Sep 2023,2.86,2.95,0.09,3.15
ABCB,26-OCT-23,Sep 2023,1.13,1.16,0.03,2.65
ABG,24-OCT-23,Sep 2023,8.44,8.12,-0.32,-3.79
ABM,13-DEC-23,Oct 2023,0.93,1.01,0.08,8.6
ABNB,01-NOV-23,Sep 2023,2.08,2.39,0.31,14.9
ABR,27-OCT-23,Sep 2023,0.48,0.55,0.07,14.58
ABT,18-OCT-23,Sep 2023,1.1,1.14,0.04,3.64
ABUS,07-NOV-23,Sep 2023,-0.12,-0.12,0.0,0.0
ACA,01-NOV-23,Sep 2023,0.66,0.73,0.07,10.61
ACAD,02-NOV-23,Sep 2023,-0.43,-0.4,0.03,6.98
ACCD,04-OCT-23,Aug 2023,-0.56,-0.43,0.13,23.21
ACCO,02-NOV-23,Sep 2023,0.23,0.24,0.01,4.35
ACDC,09-NOV-23,Sep 2023,0.11,-0.09,-0.2,-181.82
ACEL,07-NOV-23,Sep 2023,0.16,0.22,0.06,37.5
ACET,08-NOV-23,Sep 2023,-0.73,-0.71,0.02,2.74
ACGL,30-OCT-23,Sep 2023,1.54,2.31,0.77,50.0
ACHC,02-NOV-23,Sep 2023,0.88,0.91,0.03,3.41
ACHR,09-NOV-23,Sep 2023,-0.3,-0.29,0.01,3.33
ACI,17-OCT-23,Aug 2023,0.57,0.63,0.06,10.53
ACLS,01-NOV-23,Sep 2023,1.73,1.99,0.26,15.03
ACLX,13-NOV-23,Sep 2023,-0.56,-0.81,-0.25,-44.64
ACM,13-NOV-23,Sep 2023,1.01,1.01,0.0,0.0
ACMR,07-NOV-23,Sep 2023,0.35,0.57,0.22,62.86
ACN,28-SEP-23,Aug 2023,2.62,2.71,0.09,3.44
ACNB,27-OCT-23,Sep 2023,1.04,1.06,0.02,1.92
ACRE,03-NOV-23,Sep 2023,0.23,0.25,0.02,8.7
ACRS,06-NOV-23,Sep 2023,-0.48,-0.41,0.07,14.58
ACT,01-NOV-23,Sep 2023,0.86,1.02,0.16,18.6
ACVA,06-NOV-23,Sep 2023,-0.07,-0.02,0.05,71.43
ADBE,14-SEP-23,Aug 2023,3.97,4.09,0.12,3.02
ADC,24-OCT-23,Sep 2023,0.98,0.41,-0.57,-58.16
ADI,21-NOV-23,Oct 2023,2.01,2.01,0.0,0.0
ADM,24-OCT-23,Sep 2023,1.5,1.63,0.13,8.67
ADMA,08-NOV-23,Sep 2023,-0.01,0.01,0.02,200.0
ADNT,08-NOV-23,Sep 2023,0.52,0.51,-0.01,-1.92
ADP,25-OCT-23,Sep 2023,2.03,2.08,0.05,2.46
ADPT,09-NOV-23,Sep 2023,-0.32,-0.35,-0.03,-9.38
ADSK,21-NOV-23,Oct 2023,1.99,2.07,0.08,4.02
ADT,02-NOV-23,Sep 2023,0.03,0.08,0.05,166.67
ADTN,06-NOV-23,Sep 2023,-0.11,-0.14,-0.03,-27.27
ADUS,30-OCT-23,Sep 2023,1.05,1.15,0.1,9.52
ADV,07-NOV-23,Sep 2023,0.13,-0.07,-0.2,-153.85
AEE,08-NOV-23,Sep 2023,1.8,1.87,0.07,3.89
AEHR,05-OCT-23,Aug 2023,0.2,0.18,-0.02,-10.0
AEIS,31-OCT-23,Sep 2023,1.16,1.28,0.12,10.34
AEL,07-NOV-23,Sep 2023,1.68,2.45,0.77,45.83
AEO,21-NOV-23,Oct 2023,0.48,0.49,0.01,2.08
AEP,02-NOV-23,Sep 2023,1.73,1.77,0.04,2.31
AES,02-NOV-23,Sep 2023,0.55,0.6,0.05,9.09
AFCG,08-NOV-23,Sep 2023,0.48,0.49,0.01,2.08
AFG,01-NOV-23,Sep 2023,2.47,2.45,-0.02,-0.81
AFL,01-NOV-23,Sep 2023,1.44,1.84,0.4,27.78
AGCO,31-OCT-23,Sep 2023,3.27,3.97,0.7,21.41
AGEN,07-NOV-23,Sep 2023,-0.19,-0.16,0.03,15.79
AGIO,02-NOV-23,Sep 2023,-1.69,-1.64,0.05,2.96
AGL,02-NOV-23,Sep 2023,-0.05,-0.06,-0.01,-20.0
AGM,06-NOV-23,Sep 2023,3.92,4.13,0.21,5.36
AGNC,30-OCT-23,Sep 2023,0.57,0.65,0.08,14.04
AGO,07-NOV-23,Sep 2023,1.07,3.42,2.35,219.63
AGR,25-OCT-23,Sep 2023,0.42,0.27,-0.15,-35.71
AGTI,07-NOV-23,Sep 2023,0.1,0.09,-0.01,-10.0
AGYS,23-OCT-23,Sep 2023,0.19,0.25,0.06,31.58
AHCO,07-NOV-23,Sep 2023,0.19,0.19,0.0,0.0
AHH,02-NOV-23,Sep 2023,0.32,0.31,-0.01,-3.13
AI,06-DEC-23,Oct 2023,-0.19,-0.13,0.06,31.58
AIG,01-NOV-23,Sep 2023,1.55,1.61,0.06,3.87
AIN,06-NOV-23,Sep 2023,0.91,1.02,0.11,12.09
AIR,26-SEP-23,Aug 2023,0.73,0.78,0.05,6.85
AIRC,02-NOV-23,Sep 2023,0.62,4.43,3.81,614.52
AIT,26-OCT-23,Sep 2023,2.07,2.39,0.32,15.46
AIZ,31-OCT-23,Sep 2023,2.48,4.29,1.81,72.98
AJG,26-OCT-23,Sep 2023,1.94,2.0,0.06,3.09
AKAM,07-NOV-23,Sep 2023,1.51,1.63,0.12,7.95
AKR,30-OCT-23,Sep 2023,0.27,-0.02,-0.29,-107.41
AKRO,13-NOV-23,Sep 2023,-0.69,-0.71,-0.02,-2.9
AKTS,13-NOV-23,Sep 2023,-0.18,-0.27,-0.09,-50.0
AL,06-NOV-23,Sep 2023,1.08,1.1,0.02,1.85
ALB,01-NOV-23,Sep 2023,3.7,2.74,-0.96,-25.95
ALE,02-NOV-23,Sep 2023,0.61,1.49,0.88,144.26
ALEC,07-NOV-23,Sep 2023,-0.65,-0.53,0.12,18.46
ALEX,02-NOV-23,Sep 2023,0.32,0.16,-0.16,-50.0
ALG,02-NOV-23,Sep 2023,2.54,2.91,0.37,14.57
ALGM,02-NOV-23,Sep 2023,0.37,0.4,0.03,8.11
ALGN,25-OCT-23,Sep 2023,2.26,2.14,-0.12,-5.31
ALGT,02-NOV-23,Sep 2023,0.13,0.09,-0.04,-30.77
ALHC,02-NOV-23,Sep 2023,-0.19,-0.19,0.0,0.0
ALIT,01-NOV-23,Sep 2023,0.13,0.14,0.01,7.69
ALK,19-OCT-23,Sep 2023,1.88,1.83,-0.05,-2.66
ALKS,25-OCT-23,Sep 2023,0.44,0.64,0.2,45.45
ALKT,01-NOV-23,Sep 2023,-0.02,0.01,0.03,150.0
ALL,01-NOV-23,Sep 2023,0.39,0.81,0.42,107.69
ALLE,31-OCT-23,Sep 2023,1.71,1.94,0.23,13.45
ALLK,13-NOV-23,Sep 2023,-0.46,-0.52,-0.06,-13.04
ALLO,02-NOV-23,Sep 2023,-0.53,-0.37,0.16,30.19
ALLY,18-OCT-23,Sep 2023,0.8,0.83,0.03,3.75
ALNY,02-NOV-23,Sep 2023,-1.61,1.15,2.76,171.43
ALPN,14-NOV-23,Sep 2023,-0.35,-0.24,0.11,31.43
ALRM,09-NOV-23,Sep 2023,0.4,0.56,0.16,40.0
ALRS,25-OCT-23,Sep 2023,0.34,0.45,0.11,32.35
ALSN,25-OCT-23,Sep 2023,1.72,1.76,0.04,2.33
ALT,07-NOV-23,Sep 2023,-0.4,-0.39,0.01,2.5
ALTG,08-NOV-23,Sep 2023,0.04,0.2,0.16,400.0
ALTR,02-NOV-23,Sep 2023,0.03,0.14,0.11,366.67
ALX,30-OCT-23,Sep 2023,3.42,2.1,-1.32,-38.6
ALXO,13-NOV-23,Sep 2023,-0.86,-1.24,-0.38,-44.19
AM,25-OCT-23,Sep 2023,0.21,0.23,0.02,9.52
AMAL,26-OCT-23,Sep 2023,0.71,0.76,0.05,7.04
AMAT,16-NOV-23,Oct 2023,1.98,2.12,0.14,7.07
AMBA,30-NOV-23,Oct 2023,-0.39,-0.28,0.11,28.21
AMBC,07-NOV-23,Sep 2023,-0.1,2.0,2.1,2100.0
AMBP,26-OCT-23,Sep 2023,0.06,0.06,0.0,0.0
AMC,08-NOV-23,Sep 2023,-0.2,-0.09,0.11,55.0
AMCR,31-OCT-23,Sep 2023,0.14,0.16,0.02,14.29
AMCX,03-NOV-23,Sep 2023,1.31,1.85,0.54,41.22
AMD,31-OCT-23,Sep 2023,0.68,0.7,0.02,2.94
AME,31-OCT-23,Sep 2023,1.58,1.64,0.06,3.8
AMED,24-OCT-23,Sep 2023,1.08,0.98,-0.1,-9.26
AMG,06-NOV-23,Sep 2023,3.78,4.08,0.3,7.94
AMGN,31-OCT-23,Sep 2023,4.65,4.96,0.31,6.67
AMH,02-NOV-23,Sep 2023,0.41,0.41,0.0,0.0
AMK,06-NOV-23,Sep 2023,0.59,0.62,0.03,5.08
AMKR,30-OCT-23,Sep 2023,0.53,0.54,0.01,1.89
AMLX,09-NOV-23,Sep 2023,0.42,0.3,-0.12,-28.57
AMN,02-NOV-23,Sep 2023,1.64,1.97,0.33,20.12
AMP,25-OCT-23,Sep 2023,7.58,7.68,0.1,1.32
AMPH,08-NOV-23,Sep 2023,0.7,1.15,0.45,64.29
AMPL,07-NOV-23,Sep 2023,0.02,0.05,0.03,150.0
AMPS,13-NOV-23,Sep 2023,0.04,0.03,-0.01,-25.0
AMPY,06-NOV-23,Sep 2023,0.2,-0.34,-0.54,-270.0
AMR,02-NOV-23,Sep 2023,6.5,6.65,0.15,2.31
AMRC,06-NOV-23,Sep 2023,0.47,0.4,-0.07,-14.89
AMRK,07-NOV-23,Sep 2023,1.88,1.09,-0.79,-42.02
AMRX,07-NOV-23,Sep 2023,0.12,0.19,0.07,58.33
AMSF,25-OCT-23,Sep 2023,0.64,0.61,-0.03,-4.69
AMSWA,16-NOV-23,Oct 2023,0.08,0.08,0.0,0.0
AMT,26-OCT-23,Sep 2023,2.35,1.26,-1.09,-46.38
AMTB,19-OCT-23,Sep 2023,0.61,0.64,0.03,4.92
AMWD,30-NOV-23,Oct 2023,1.84,2.36,0.52,28.26
AMWL,01-NOV-23,Sep 2023,-0.2,-0.2,0.0,0.0
AMZN,26-OCT-23,Sep 2023,0.58,0.85,0.27,46.55
AN,27-OCT-23,Sep 2023,5.42,5.54,0.12,2.21
ANAB,02-NOV-23,Sep 2023,-1.72,-1.41,0.31,18.02
ANDE,07-NOV-23,Sep 2023,0.52,0.13,-0.39,-75.0
ANET,30-OCT-23,Sep 2023,1.58,1.83,0.25,15.82
ANF,21-NOV-23,Oct 2023,1.14,1.83,0.69,60.53
ANGO,04-OCT-23,Aug 2023,-0.14,-0.12,0.02,14.29
ANIK,02-NOV-23,Sep 2023,-0.33,-0.45,-0.12,-36.36
ANIP,08-NOV-23,Sep 2023,0.76,1.27,0.51,67.11
ANNX,13-NOV-23,Sep 2023,-0.5,-0.43,0.07,14.0
ANSS,01-NOV-23,Sep 2023,1.26,1.41,0.15,11.9
AON,27-OCT-23,Sep 2023,2.23,2.32,0.09,4.04
AOS,26-OCT-23,Sep 2023,0.79,0.9,0.11,13.92
AOSL,06-NOV-23,Sep 2023,0.32,0.33,0.01,3.13
APA,01-NOV-23,Sep 2023,1.08,1.33,0.25,23.15
APAM,31-OCT-23,Sep 2023,0.47,0.75,0.28,59.57
APD,07-NOV-23,Sep 2023,3.11,3.15,0.04,1.29
APG,02-NOV-23,Sep 2023,0.45,0.48,0.03,6.67
APH,25-OCT-23,Sep 2023,0.74,0.78,0.04,5.41
APLD,09-OCT-23,Aug 2023,-0.02,-0.1,-0.08,-400.0
APLE,07-NOV-23,Sep 2023,0.45,0.45,0.0,0.0
APLS,01-NOV-23,Sep 2023,-0.84,-1.17,-0.33,-39.29
APO,01-NOV-23,Sep 2023,1.71,1.71,0.0,0.0
APOG,19-SEP-23,Aug 2023,1.01,1.36,0.35,34.65
APP,08-NOV-23,Sep 2023,0.27,0.3,0.03,11.11
APPF,26-OCT-23,Sep 2023,0.4,0.59,0.19,47.5
APPN,02-NOV-23,Sep 2023,-0.26,-0.2,0.06,23.08
APPS,08-NOV-23,Sep 2023,0.15,0.13,-0.02,-13.33
APTV,02-NOV-23,Sep 2023,1.2,1.3,0.1,8.33
ARAY,07-NOV-23,Sep 2023,-0.03,-0.03,0.0,0.0
ARCB,27-OCT-23,Sep 2023,1.55,2.31,0.76,49.03
ARCH,26-OCT-23,Sep 2023,3.26,3.91,0.65,19.94
ARCT,14-NOV-23,Sep 2023,-1.79,-0.61,1.18,65.92
ARDX,31-OCT-23,Sep 2023,-0.11,0.03,0.14,127.27
ARE,23-OCT-23,Sep 2023,2.24,0.13,-2.11,-94.2
ARES,31-OCT-23,Sep 2023,0.86,0.83,-0.03,-3.49
ARI,30-OCT-23,Sep 2023,0.38,0.37,-0.01,-2.63
ARIS,01-NOV-23,Sep 2023,0.16,0.17,0.01,6.25
ARKO,06-NOV-23,Sep 2023,0.17,0.17,0.0,0.0
ARLO,09-NOV-23,Sep 2023,0.06,0.09,0.03,50.0
ARMK,14-NOV-23,Sep 2023,0.64,0.64,0.0,0.0
AROC,01-NOV-23,Sep 2023,0.19,0.2,0.01,5.26
AROW,24-OCT-23,Sep 2023,0.33,0.46,0.13,39.39
ARQT,03-NOV-23,Sep 2023,-0.9,-0.73,0.17,18.89
ARR,25-OCT-23,Sep 2023,1.15,1.08,-0.07,-6.09
ARRY,07-NOV-23,Sep 2023,0.11,0.21,0.1,90.91
ARTNA,06-NOV-23,Sep 2023,0.48,0.49,0.01,2.08
ARVN,07-NOV-23,Sep 2023,-1.52,-1.18,0.34,22.37
ARW,02-NOV-23,Sep 2023,3.48,4.14,0.66,18.97
ARWR,29-NOV-23,Sep 2023,-0.7,-1.03,-0.33,-47.14
ASAN,05-DEC-23,Oct 2023,-0.11,-0.04,0.07,63.64
ASB,19-OCT-23,Sep 2023,0.53,0.53,0.0,0.0
ASC,07-NOV-23,Sep 2023,0.43,0.49,0.06,13.95
ASGN,25-OCT-23,Sep 2023,1.56,1.68,0.12,7.69
ASH,08-NOV-23,Sep 2023,0.47,0.41,-0.06,-12.77
ASIX,03-NOV-23,Sep 2023,0.01,-0.36,-0.37,-3700.0
ASLE,08-NOV-23,Sep 2023,0.21,0.03,-0.18,-85.71
ASO,30-NOV-23,Oct 2023,1.64,1.38,-0.26,-15.85
ASPN,01-NOV-23,Sep 2023,-0.29,-0.19,0.1,34.48
ASRT,08-NOV-23,Sep 2023,0.14,0.01,-0.13,-92.86
ASTE,01-NOV-23,Sep 2023,0.64,-0.01,-0.65,-101.56
ASTS,14-NOV-23,Sep 2023,-0.21,-0.23,-0.02,-9.52
ASUR,13-NOV-23,Sep 2023,0.06,0.13,0.07,116.67
ATEC,06-NOV-23,Sep 2023,-0.3,-0.35,-0.05,-16.67
ATEN,07-NOV-23,Sep 2023,0.13,0.16,0.03,23.08
ATEX,13-NOV-23,Sep 2023,-0.64,-0.55,0.09,14.06
ATGE,26-OCT-23,Sep 2023,0.82,0.93,0.11,13.41
ATI,02-NOV-23,Sep 2023,0.52,0.55,0.03,5.77
ATKR,17-NOV-23,Sep 2023,4.19,4.21,0.02,0.48
ATNI,25-OCT-23,Sep 2023,-0.21,-0.24,-0.03,-14.29
ATO,08-NOV-23,Sep 2023,0.74,0.8,0.06,8.11
ATR,25-OCT-23,Sep 2023,1.28,1.39,0.11,8.59
ATRA,01-NOV-23,Sep 2023,-0.63,-0.66,-0.03,-4.76
ATRC,01-NOV-23,Sep 2023,-0.3,-0.2,0.1,33.33
ATRO,08-NOV-23,Sep 2023,0.03,-0.18,-0.21,-700.0
ATSG,06-NOV-23,Sep 2023,0.49,0.32,-0.17,-34.69
ATXS,13-NOV-23,Sep 2023,-0.51,-0.63,-0.12,-23.53
AUB,19-OCT-23,Sep 2023,0.76,0.8,0.04,5.26
AUPH,02-NOV-23,Sep 2023,-0.17,-0.09,0.08,47.06
AURA,09-NOV-23,Sep 2023,-0.54,-0.48,0.06,11.11
AVA,01-NOV-23,Sep 2023,0.11,0.19,0.08,72.73
AVAV,05-DEC-23,Oct 2023,0.67,0.97,0.3,44.78
AVB,25-OCT-23,Sep 2023,2.64,1.21,-1.43,-54.17
AVDX,08-NOV-23,Sep 2023,-0.05,0.03,0.08,160.0
AVGO,07-DEC-23,Oct 2023,10.95,11.06,0.11,1.0
AVIR,08-NOV-23,Sep 2023,-0.46,-0.4,0.06,13.04
AVNS,01-NOV-23,Sep 2023,0.29,0.3,0.01,3.45
AVNT,02-NOV-23,Sep 2023,0.57,0.57,0.0,0.0
AVNW,01-NOV-23,Sep 2023,0.79,0.87,0.08,10.13
AVO,21-DEC-23,Oct 2023,0.09,0.11,0.02,22.22
AVPT,09-NOV-23,Sep 2023,0.02,0.03,0.01,50.0
AVT,01-NOV-23,Sep 2023,1.5,1.61,0.11,7.33
AVTE,13-NOV-23,Sep 2023,-0.7,-0.71,-0.01,-1.43
AVTR,27-OCT-23,Sep 2023,0.25,0.25,0.0,0.0
AVXL,27-NOV-23,Sep 2023,-0.16,-0.12,0.04,25.0
AVY,25-OCT-23,Sep 2023,2.07,2.1,0.03,1.45
AWI,24-OCT-23,Sep 2023,1.3,1.6,0.3,23.08
AWK,01-NOV-23,Sep 2023,1.55,1.66,0.11,7.1
AWR,06-NOV-23,Sep 2023,0.82,0.85,0.03,3.66
AX,26-OCT-23,Sep 2023,1.35,1.41,0.06,4.44
AXGN,07-NOV-23,Sep 2023,-0.08,0.01,0.09,112.5
AXL,03-NOV-23,Sep 2023,-0.04,-0.11,-0.07,-175.0
AXNX,30-OCT-23,Sep 2023,-0.05,0.08,0.13,260.0
AXON,07-NOV-23,Sep 2023,0.76,1.02,0.26,34.21
AXP,20-OCT-23,Sep 2023,2.96,3.3,0.34,11.49
AXS,01-NOV-23,Sep 2023,1.86,2.34,0.48,25.81
AXSM,06-NOV-23,Sep 2023,-1.24,-1.32,-0.08,-6.45
AXTA,01-NOV-23,Sep 2023,0.38,0.45,0.07,18.42
AYI,04-OCT-23,Aug 2023,3.57,3.97,0.4,11.2
AZEK,28-NOV-23,Sep 2023,0.3,0.36,0.06,20.0
AZO,19-SEP-23,Aug 2023,44.51,46.46,1.95,4.38
AZPN,06-NOV-23,Sep 2023,1.41,1.16,-0.25,-17.73
AZZ,10-OCT-23,Aug 2023,0.82,1.27,0.45,54.88
B,27-OCT-23,Sep 2023,0.51,0.19,-0.32,-62.75
BA,25-OCT-23,Sep 2023,-3.21,-3.26,-0.05,-1.56
BAC,17-OCT-23,Sep 2023,0.81,0.9,0.09,11.11
BAH,27-OCT-23,Sep 2023,1.31,1.29,-0.02,-1.53
BALL,02-NOV-23,Sep 2023,0.82,0.83,0.01,1.22
BALY,01-NOV-23,Sep 2023,-0.17,-1.15,-0.98,-576.47
BANC,24-OCT-23,Sep 2023,0.31,0.3,-0.01,-3.23
BAND,02-NOV-23,Sep 2023,0.21,0.23,0.02,9.52
BANF,19-OCT-23,Sep 2023,1.48,1.52,0.04,2.7
BANR,18-OCT-23,Sep 2023,1.37,1.43,0.06,4.38
BASE,06-DEC-23,Oct 2023,-0.18,-0.08,0.1,55.56
BATRA,02-NOV-23,Sep 2023,0.22,-0.1,-0.32,-145.45
BATRK,02-NOV-23,Sep 2023,0.22,-0.1,-0.32,-145.45
BAX,02-NOV-23,Sep 2023,0.66,0.68,0.02,3.03
BBIO,02-NOV-23,Sep 2023,-0.86,-1.08,-0.22,-25.58
BBSI,01-NOV-23,Sep 2023,2.4,2.68,0.28,11.67
BBW,30-NOV-23,Oct 2023,0.51,0.53,0.02,3.92
BBWI,16-NOV-23,Oct 2023,0.36,0.48,0.12,33.33
BBY,21-NOV-23,Oct 2023,1.19,1.29,0.1,8.4
BC,26-OCT-23,Sep 2023,2.36,2.42,0.06,2.54
BCBP,19-OCT-23,Sep 2023,0.5,0.39,-0.11,-22.0
BCC,30-OCT-23,Sep 2023,3.47,3.58,0.11,3.17
BCML,19-OCT-23,Sep 2023,0.55,0.56,0.01,1.82
BCO,07-NOV-23,Sep 2023,1.83,1.92,0.09,4.92
BCPC,27-OCT-23,Sep 2023,0.91,0.9,-0.01,-1.1
BCRX,02-NOV-23,Sep 2023,-0.25,-0.19,0.06,24.0
BDC,02-NOV-23,Sep 2023,1.76,1.78,0.02,1.14
BDN,24-OCT-23,Sep 2023,0.28,-0.13,-0.41,-146.43
BDX,09-NOV-23,Sep 2023,3.42,3.42,0.0,0.0
BE,08-NOV-23,Sep 2023,-0.03,0.15,0.18,600.0
BEAM,08-NOV-23,Sep 2023,-1.37,-1.22,0.15,10.95
BECN,02-NOV-23,Sep 2023,2.54,2.85,0.31,12.2
BELFB,25-OCT-23,Sep 2023,1.19,1.55,0.36,30.25
BEN,31-OCT-23,Sep 2023,0.6,0.84,0.24,40.0
BEPC,03-NOV-23,Sep 2023,-0.12,-0.14,-0.02,-16.67
BERY,16-NOV-23,Sep 2023,2.13,2.28,0.15,7.04
BFAM,01-NOV-23,Sep 2023,0.8,0.88,0.08,10.0
BFC,17-OCT-23,Sep 2023,1.47,1.46,-0.01,-0.68
BFLY,02-NOV-23,Sep 2023,-0.15,-0.13,0.02,13.33
BFST,26-OCT-23,Sep 2023,0.62,0.71,0.09,14.52
BG,26-OCT-23,Sep 2023,2.37,2.99,0.62,26.16
BGC,30-OCT-23,Sep 2023,0.18,0.19,0.01,5.56
BGS,08-NOV-23,Sep 2023,0.23,0.27,0.04,17.39
BHB,17-OCT-23,Sep 2023,0.67,0.73,0.06,8.96
BHF,07-NOV-23,Sep 2023,4.03,4.18,0.15,3.72
BHIL,09-NOV-23,Sep 2023,-0.19,-0.1,0.09,47.37
BHLB,20-OCT-23,Sep 2023,0.49,0.5,0.01,2.04
BHR,08-NOV-23,Sep 2023,0.04,-0.5,-0.54,-1350.0
BHVN,14-NOV-23,Sep 2023,-1.33,-1.5,-0.17,-12.78
BIG,30-NOV-23,Oct 2023,-4.71,-4.38,0.33,7.01
BIGC,08-NOV-23,Sep 2023,-0.03,0.01,0.04,133.33
BIIB,08-NOV-23,Sep 2023,3.99,4.36,0.37,9.27
BILL,02-NOV-23,Sep 2023,0.5,0.54,0.04,8.0
BIO,26-OCT-23,Sep 2023,2.87,2.33,-0.54,-18.82
BIRD,08-NOV-23,Sep 2023,-0.21,-0.21,0.0,0.0
BJ,17-NOV-23,Oct 2023,0.95,0.98,0.03,3.16
BJRI,26-OCT-23,Sep 2023,-0.01,-0.16,-0.15,-1500.0
BK,17-OCT-23,Sep 2023,1.14,1.27,0.13,11.4
BKD,06-NOV-23,Sep 2023,-0.2,-0.22,-0.02,-10.0
BKNG,02-NOV-23,Sep 2023,67.86,72.32,4.46,6.57
BKR,25-OCT-23,Sep 2023,0.39,0.42,0.03,7.69
BKU,19-OCT-23,Sep 2023,0.71,0.63,-0.08,-11.27
BL,02-NOV-23,Sep 2023,0.36,0.51,0.15,41.67
BLBD,11-DEC-23,Sep 2023,0.47,0.66,0.19,40.43
BLD,31-OCT-23,Sep 2023,4.59,5.43,0.84,18.3
BLDR,01-NOV-23,Sep 2023,4.05,4.24,0.19,4.69
BLFS,09-NOV-23,Sep 2023,-0.38,-0.67,-0.29,-76.32
BLFY,25-OCT-23,Sep 2023,-0.12,-0.06,0.06,50.0
BLK,13-OCT-23,Sep 2023,8.47,10.91,2.44,28.81
BLKB,31-OCT-23,Sep 2023,0.97,1.12,0.15,15.46
BLMN,03-NOV-23,Sep 2023,0.41,0.44,0.03,7.32
BLNK,09-NOV-23,Sep 2023,-0.46,-0.16,0.3,65.22
BLUE,07-NOV-23,Sep 2023,-0.69,-0.66,0.03,4.35
BMBL,07-NOV-23,Sep 2023,0.07,0.12,0.05,71.43
BMEA,30-OCT-23,Sep 2023,-0.83,-0.8,0.03,3.61
BMI,19-OCT-23,Sep 2023,0.76,0.88,0.12,15.79
BMRC,23-OCT-23,Sep 2023,0.33,0.33,0.0,0.0
BMRN,01-NOV-23,Sep 2023,0.46,0.46,0.0,0.0
BMY,26-OCT-23,Sep 2023,1.76,2.0,0.24,13.64
BNL,01-NOV-23,Sep 2023,0.35,0.26,-0.09,-25.71
BOH,23-OCT-23,Sep 2023,0.96,1.17,0.21,21.88
BOKF,25-OCT-23,Sep 2023,2.12,2.04,-0.08,-3.77
BOOM,02-NOV-23,Sep 2023,0.54,0.5,-0.04,-7.41
BOOT,02-NOV-23,Sep 2023,0.88,0.91,0.03,3.41
BOWL,07-NOV-23,Sep 2023,-0.04,-0.1,-0.06,-150.0
BOX,05-DEC-23,Oct 2023,0.38,0.36,-0.02,-5.26
BPMC,26-OCT-23,Sep 2023,-2.39,-2.2,0.19,7.95
BPOP,26-OCT-23,Sep 2023,1.89,1.9,0.01,0.53
BR,02-NOV-23,Sep 2023,0.94,1.09,0.15,15.96
BRBR,20-NOV-23,Sep 2023,0.4,0.41,0.01,2.5
BRCC,09-NOV-23,Sep 2023,-0.01,-0.05,-0.04,-400.0
BRKL,25-OCT-23,Sep 2023,0.27,0.26,-0.01,-3.7
BRKR,02-NOV-23,Sep 2023,0.63,0.74,0.11,17.46
BRO,23-OCT-23,Sep 2023,0.61,0.71,0.1,16.39
BRP,07-NOV-23,Sep 2023,0.27,0.29,0.02,7.41
BRSP,30-OCT-23,Sep 2023,0.23,0.28,0.05,21.74
BRX,30-OCT-23,Sep 2023,0.5,0.5,0.0,0.0
BRY,01-NOV-23,Sep 2023,0.33,0.15,-0.18,-54.55
BRZE,06-DEC-23,Oct 2023,-0.13,-0.05,0.08,61.54
BSIG,02-NOV-23,Sep 2023,0.29,0.45,0.16,55.17
BSRR,23-OCT-23,Sep 2023,0.69,0.68,-0.01,-1.45
BSX,26-OCT-23,Sep 2023,0.48,0.5,0.02,4.17
BSY,07-NOV-23,Sep 2023,0.19,0.22,0.03,15.79
BTAI,14-NOV-23,Sep 2023,-1.29,-1.72,-0.43,-33.33
BTBT,14-NOV-23,Sep 2023,-0.07,-0.03,0.04,57.14
BTU,26-OCT-23,Sep 2023,1.16,0.8,-0.36,-31.03
BURL,21-NOV-23,Oct 2023,0.99,0.98,-0.01,-1.01
BUSE,24-OCT-23,Sep 2023,0.51,0.55,0.04,7.84
BV,16-NOV-23,Sep 2023,0.3,0.19,-0.11,-36.67
BW,09-NOV-23,Sep 2023,0.09,-0.18,-0.27,-300.0
BWA,02-NOV-23,Sep 2023,0.91,0.98,0.07,7.69
BWB,25-OCT-23,Sep 2023,0.29,0.3,0.01,3.45
BWMN,06-NOV-23,Sep 2023,0.29,0.34,0.05,17.24
BWXT,01-NOV-23,Sep 2023,0.66,0.67,0.01,1.52
BX,19-OCT-23,Sep 2023,0.98,0.94,-0.04,-4.08
BXC,31-OCT-23,Sep 2023,3.04,2.98,-0.06,-1.97
BXMT,25-OCT-23,Sep 2023,0.72,0.78,0.06,8.33
BXP,01-NOV-23,Sep 2023,1.85,-0.71,-2.56,-138.38
BY,26-OCT-23,Sep 2023,0.61,0.77,0.16,26.23
BYD,24-OCT-23,Sep 2023,1.44,1.36,-0.08,-5.56
BYND,08-NOV-23,Sep 2023,-0.83,-1.09,-0.26,-31.33
BZH,16-NOV-23,Sep 2023,1.39,1.8,0.41,29.5
C,13-OCT-23,Sep 2023,1.26,1.52,0.26,20.63
