ticker,date,period_ending,estimate,reported,surprise,surprise%
TRS,26-OCT-23,Sep 2023,0.56,0.57,0.01,1.79
TRST,23-OCT-23,Sep 2023,0.76,0.77,0.01,1.32
TRTX,31-OCT-23,Sep 2023,-0.24,-1.33,-1.09,-454.17
TRU,24-OCT-23,Sep 2023,0.95,0.91,-0.04,-4.21
TRUE,06-NOV-23,Sep 2023,-0.07,-0.05,0.02,28.57
TRUP,02-NOV-23,Sep 2023,-0.31,-0.1,0.21,67.74
TRV,18-OCT-23,Sep 2023,2.93,1.95,-0.98,-33.45
TSCO,26-OCT-23,Sep 2023,2.27,2.33,0.06,2.64
TSE,03-NOV-23,Sep 2023,-1.18,-1.03,0.15,12.71
TSLA,18-OCT-23,Sep 2023,0.72,0.66,-0.06,-8.33
TSN,13-NOV-23,Sep 2023,0.33,0.37,0.04,12.12
TSVT,14-NOV-23,Sep 2023,-1.31,-1.0,0.31,23.66
TT,01-NOV-23,Sep 2023,2.66,2.79,0.13,4.89
TTC,20-DEC-23,Oct 2023,0.56,0.71,0.15,26.79
TTD,09-NOV-23,Sep 2023,0.29,0.33,0.04,13.79
TTEC,08-NOV-23,Sep 2023,0.44,0.48,0.04,9.09
TTEK,15-NOV-23,Sep 2023,1.45,1.78,0.33,22.76
TTGT,08-NOV-23,Sep 2023,0.39,0.43,0.04,10.26
TTI,30-OCT-23,Sep 2023,0.08,0.07,-0.01,-12.5
TTMI,01-NOV-23,Sep 2023,0.28,0.43,0.15,53.57
TTWO,08-NOV-23,Sep 2023,1.02,1.23,0.21,20.59
TVTX,07-NOV-23,Sep 2023,-1.09,-1.17,-0.08,-7.34
TW,26-OCT-23,Sep 2023,0.55,0.55,0.0,0.0
TWI,01-NOV-23,Sep 2023,0.27,0.29,0.02,7.41
TWKS,07-NOV-23,Sep 2023,0.03,0.04,0.01,33.33
TWLO,08-NOV-23,Sep 2023,0.35,0.58,0.23,65.71
TWO,30-OCT-23,Sep 2023,0.19,-0.01,-0.2,-105.26
TWOU,09-NOV-23,Sep 2023,-0.11,-0.15,-0.04,-36.36
TWST,17-NOV-23,Sep 2023,-0.94,-0.81,0.13,13.83
TXG,02-NOV-23,Sep 2023,-0.45,-0.51,-0.06,-13.33
TXN,24-OCT-23,Sep 2023,1.81,1.8,-0.01,-0.55
TXRH,26-OCT-23,Sep 2023,1.05,0.95,-0.1,-9.52
TXT,26-OCT-23,Sep 2023,1.27,1.49,0.22,17.32
TYL,01-NOV-23,Sep 2023,1.97,2.14,0.17,8.63
TYRA,07-NOV-23,Sep 2023,-0.35,-0.49,-0.14,-40.0
U,09-NOV-23,Sep 2023,0.15,0.18,0.03,20.0
UAA,08-NOV-23,Sep 2023,0.21,0.24,0.03,14.29
UAL,17-OCT-23,Sep 2023,3.4,3.65,0.25,7.35
UBER,07-NOV-23,Sep 2023,0.13,0.1,-0.03,-23.08
UBSI,25-OCT-23,Sep 2023,0.66,0.71,0.05,7.58
UCBI,18-OCT-23,Sep 2023,0.46,0.45,-0.01,-2.17
UDMY,02-NOV-23,Sep 2023,-0.02,0.05,0.07,350.0
UDR,26-OCT-23,Sep 2023,0.63,0.12,-0.51,-80.95
UE,31-OCT-23,Sep 2023,0.28,0.32,0.04,14.29
UFCS,01-NOV-23,Sep 2023,-0.16,0.31,0.47,293.75
UFPI,31-OCT-23,Sep 2023,2.13,2.1,-0.03,-1.41
UGI,16-NOV-23,Sep 2023,-0.06,0.03,0.09,150.0
UHAL,08-NOV-23,Sep 2023,1.76,1.36,-0.4,-22.73
UHS,25-OCT-23,Sep 2023,2.34,2.55,0.21,8.97
UI,03-NOV-23,Sep 2023,2.59,1.47,-1.12,-43.24
UIS,06-NOV-23,Sep 2023,-0.64,-0.33,0.31,48.44
ULCC,26-OCT-23,Sep 2023,-0.16,-0.14,0.02,12.5
ULH,26-OCT-23,Sep 2023,1.0,0.88,-0.12,-12.0
ULTA,30-NOV-23,Oct 2023,4.96,5.07,0.11,2.22
UMBF,24-OCT-23,Sep 2023,1.76,2.02,0.26,14.77
UMH,08-NOV-23,Sep 2023,0.21,-0.09,-0.3,-142.86
UNF,18-OCT-23,Aug 2023,1.72,1.75,0.03,1.74
UNFI,06-DEC-23,Oct 2023,-0.26,-0.04,0.22,84.62
UNH,13-OCT-23,Sep 2023,6.33,6.56,0.23,3.63
UNIT,02-NOV-23,Sep 2023,0.33,-0.34,-0.67,-203.03
UNM,31-OCT-23,Sep 2023,1.92,1.94,0.02,1.04
